Train | episode  33700 | loss: 0.204 | acc: 0.750
Train | episode  33800 | loss: 0.516 | acc: 0.688
Train | episode  33900 | loss: 0.365 | acc: 0.688
Train | episode  34000 | loss: 0.151 | acc: 0.812
Train | episode  34100 | loss: 0.205 | acc: 0.875
Train | episode  34200 | loss: 0.418 | acc: 0.750
Train | episode  34300 | loss: 0.305 | acc: 0.625
Train | episode  34400 | loss: 0.244 | acc: 0.750
Train | episode  34500 | loss: 0.194 | acc: 0.812
Train | episode  34600 | loss: 0.293 | acc: 0.750
Train | episode  34700 | loss: 0.141 | acc: 0.812
Train | episode  34800 | loss: 0.274 | acc: 0.688
Train | episode  34900 | loss: 0.249 | acc: 0.750
Train | episode  35000 | loss: 0.197 | acc: 0.812
Train | episode  35100 | loss: 0.532 | acc: 0.625
Train | episode  35200 | loss: 0.621 | acc: 0.688
Train | episode  35300 | loss: 0.121 | acc: 0.938
Train | episode  35400 | loss: 0.196 | acc: 0.812
Train | episode  35500 | loss: 0.477 | acc: 0.625
Train | episode  35600 | loss: 0.181 | acc: 0.875
Train | episode  35700 | loss: 0.170 | acc: 0.938
Train | episode  35800 | loss: 0.121 | acc: 0.938
Train | episode  35900 | loss: 0.365 | acc: 0.875
Train | episode  36000 | loss: 0.346 | acc: 0.688
Train | episode  36100 | loss: 0.177 | acc: 0.938
Train | episode  36200 | loss: 0.259 | acc: 0.688
Train | episode  36300 | loss: 0.118 | acc: 0.938
Train | episode  36400 | loss: 0.333 | acc: 0.750
Train | episode  36500 | loss: 0.398 | acc: 0.625
Train | episode  36600 | loss: 0.563 | acc: 0.625
Train | episode  36700 | loss: 0.609 | acc: 0.750
Train | episode  36800 | loss: 0.330 | acc: 0.812
Train | episode  36900 | loss: 0.292 | acc: 0.750
Train | episode  37000 | loss: 0.360 | acc: 0.750
Train | episode  37100 | loss: 0.192 | acc: 0.875
Train | episode  37200 | loss: 0.380 | acc: 0.625
Train | episode  37300 | loss: 0.133 | acc: 0.938
Train | episode  37400 | loss: 0.274 | acc: 0.750
Train | episode  37500 | loss: 0.254 | acc: 0.812
Train | episode  37600 | loss: 0.179 | acc: 0.812
Train | episode  37700 | loss: 0.267 | acc: 0.875
Train | episode  37800 | loss: 0.132 | acc: 0.938
Train | episode  37900 | loss: 0.298 | acc: 0.750
Train | episode  38000 | loss: 0.136 | acc: 0.875
Train | episode  38100 | loss: 0.329 | acc: 0.812
Train | episode  38200 | loss: 0.411 | acc: 0.688
Train | episode  38300 | loss: 0.469 | acc: 0.812
Train | episode  38400 | loss: 0.297 | acc: 0.812
Train | episode  38500 | loss: 0.381 | acc: 0.812
Train | episode  38600 | loss: 0.202 | acc: 0.750
Train | episode  38700 | loss: 0.175 | acc: 0.812
Train | episode  38800 | loss: 0.160 | acc: 0.875
Train | episode  38900 | loss: 0.349 | acc: 0.812
Train | episode  39000 | loss: 0.274 | acc: 0.812
Train | episode  39100 | loss: 0.210 | acc: 0.875
Train | episode  39200 | loss: 0.300 | acc: 0.875
Train | episode  39300 | loss: 0.385 | acc: 0.688
Train | episode  39400 | loss: 0.391 | acc: 0.812
Train | episode  39500 | loss: 0.295 | acc: 0.812
Train | episode  39600 | loss: 0.461 | acc: 0.688
Train | episode  39700 | loss: 0.350 | acc: 0.812
Train | episode  39800 | loss: 0.184 | acc: 0.875
Train | episode  39900 | loss: 0.279 | acc: 0.750
Train | episode  40000 | loss: 0.678 | acc: 0.562
Train | episode  40100 | loss: 0.277 | acc: 0.750
Train | episode  40200 | loss: 0.183 | acc: 0.938
Train | episode  40300 | loss: 0.651 | acc: 0.438
Train | episode  40400 | loss: 0.194 | acc: 0.938
Train | episode  40500 | loss: 0.309 | acc: 0.875
Train | episode  40600 | loss: 0.286 | acc: 0.688
Train | episode  40700 | loss: 0.281 | acc: 0.812
Train | episode  40800 | loss: 0.227 | acc: 0.875
Train | episode  40900 | loss: 0.265 | acc: 0.875
Train | episode  41000 | loss: 0.379 | acc: 0.750
Train | episode  41100 | loss: 0.179 | acc: 0.875
Train | episode  41200 | loss: 0.383 | acc: 0.625
Train | episode  41300 | loss: 0.241 | acc: 0.750
Train | episode  41400 | loss: 0.357 | acc: 0.562
Train | episode  41500 | loss: 0.180 | acc: 0.750
Train | episode  41600 | loss: 0.327 | acc: 0.812
Train | episode  41700 | loss: 0.310 | acc: 0.812
Train | episode  41800 | loss: 0.393 | acc: 0.750
Train | episode  41900 | loss: 0.262 | acc: 0.750
Train | episode  42000 | loss: 0.580 | acc: 0.438
Train | episode  42100 | loss: 0.199 | acc: 0.688
Train | episode  42200 | loss: 0.301 | acc: 0.750
Train | episode  42300 | loss: 0.326 | acc: 0.625
Train | episode  42400 | loss: 0.208 | acc: 0.812
Train | episode  42500 | loss: 0.585 | acc: 0.375
Train | episode  42600 | loss: 0.131 | acc: 0.812
Train | episode  42700 | loss: 0.426 | acc: 0.500
Train | episode  42800 | loss: 0.300 | acc: 0.750
Train | episode  42900 | loss: 0.129 | acc: 0.875
Train | episode  43000 | loss: 0.291 | acc: 0.688
Train | episode  43100 | loss: 0.220 | acc: 0.875
Train | episode  43200 | loss: 0.217 | acc: 0.750
Train | episode  43300 | loss: 0.238 | acc: 0.688
Train | episode  43400 | loss: 0.317 | acc: 0.625
Train | episode  43500 | loss: 0.285 | acc: 0.812
Train | episode  43600 | loss: 0.386 | acc: 0.750
Train | episode  43700 | loss: 0.498 | acc: 0.500
Train | episode  43800 | loss: 0.255 | acc: 0.812
Train | episode  43900 | loss: 0.890 | acc: 0.312
Train | episode  44000 | loss: 0.180 | acc: 0.938
Train | episode  44100 | loss: 0.357 | acc: 0.688
Train | episode  44200 | loss: 0.200 | acc: 0.812
Train | episode  44300 | loss: 0.219 | acc: 0.812
Train | episode  44400 | loss: 0.222 | acc: 0.812
Train | episode  44500 | loss: 0.339 | acc: 0.688
Train | episode  44600 | loss: 0.250 | acc: 0.750
Train | episode  44700 | loss: 0.256 | acc: 0.750
Train | episode  44800 | loss: 0.359 | acc: 0.625
Train | episode  44900 | loss: 0.195 | acc: 0.812
Train | episode  45000 | loss: 0.417 | acc: 0.812
Train | episode  45100 | loss: 0.742 | acc: 0.625
Train | episode  45200 | loss: 0.379 | acc: 0.688
Train | episode  45300 | loss: 0.584 | acc: 0.625
Train | episode  45400 | loss: 0.315 | acc: 0.688
Train | episode  45500 | loss: 0.333 | acc: 0.875
Train | episode  45600 | loss: 0.358 | acc: 0.750
Train | episode  45700 | loss: 0.288 | acc: 0.750
Train | episode  45800 | loss: 0.465 | acc: 0.688
Train | episode  45900 | loss: 0.297 | acc: 0.750
Train | episode  46000 | loss: 0.254 | acc: 0.812
Train | episode  46100 | loss: 0.508 | acc: 0.750
Train | episode  46200 | loss: 0.316 | acc: 0.688
Train | episode  46300 | loss: 0.325 | acc: 0.812
Train | episode  46400 | loss: 0.363 | acc: 0.688
Train | episode  46500 | loss: 0.364 | acc: 0.750
Train | episode  46600 | loss: 0.361 | acc: 0.750
Train | episode  46700 | loss: 0.415 | acc: 0.625
Train | episode  46800 | loss: 0.358 | acc: 0.812
Train | episode  46900 | loss: 0.318 | acc: 0.750
Train | episode  47000 | loss: 0.268 | acc: 0.688
Train | episode  47100 | loss: 0.226 | acc: 0.750
Train | episode  47200 | loss: 0.481 | acc: 0.562
Train | episode  47300 | loss: 0.222 | acc: 0.688
Train | episode  47400 | loss: 0.608 | acc: 0.438
Train | episode  47500 | loss: 0.479 | acc: 0.562
Train | episode  47600 | loss: 0.555 | acc: 0.562
Train | episode  47700 | loss: 0.205 | acc: 0.812
Train | episode  47800 | loss: 0.349 | acc: 0.625
Train | episode  47900 | loss: 0.255 | acc: 0.812
Train | episode  48000 | loss: 0.277 | acc: 0.812
Train | episode  48100 | loss: 0.871 | acc: 0.625
Train | episode  48200 | loss: 0.483 | acc: 0.562
